HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,Max<2.5,Max>2.5,Avg<2.5,Avg>2.5,TotalGoals,FTRodds_feedback,Goalsodds_feedback,Day,Month,Year,Day_of_week
Sp Lisbon,Estrela,3,2,H,1.25,6.0,10.0,1.23,6.25,11.0,1.26,7.3,12.0,1.24,6.5,10.99,1.44,2.7,2.88,1.49,2.74,1.44,5.0,True,True,5,11,2023,6
Benfica,Sp Lisbon,2,1,H,2.25,3.4,3.0,2.15,3.5,3.1,2.35,3.6,3.13,2.26,3.51,3.05,1.8,2.0,2.08,1.86,2.02,1.8,3.0,True,True,12,11,2023,6
Sp Lisbon,Gil Vicente,3,1,H,1.17,7.0,11.0,1.18,7.5,13.0,1.2,8.7,17.0,1.17,7.56,14.09,1.4,2.88,3.0,1.45,2.87,1.4,4.0,True,True,4,12,2023,0
Guimaraes,Sp Lisbon,3,2,H,5.0,4.0,1.62,4.8,3.9,1.63,5.42,4.2,1.67,5.07,4.04,1.64,1.73,2.08,2.13,1.81,2.07,1.76,5.0,False,True,9,12,2023,5
Sp Lisbon,Porto,2,0,H,2.15,3.3,3.3,2.15,3.4,3.2,2.25,3.61,3.52,2.15,3.47,3.33,2.03,1.83,1.87,2.05,1.82,1.98,2.0,True,True,18,12,2023,0
Portimonense,Sp Lisbon,1,2,A,8.5,5.5,1.33,8.75,5.5,1.3,10.0,6.0,1.34,8.94,5.61,1.31,1.53,2.4,2.59,1.57,2.48,1.53,3.0,True,True,30,12,2023,5
Sp Lisbon,Estoril,5,1,H,1.25,5.75,11.0,1.23,6.5,10.5,1.26,7.4,13.0,1.23,6.59,11.19,1.4,2.88,3.12,1.42,2.99,1.38,6.0,True,True,5,1,2024,4
Chaves,Sp Lisbon,0,3,A,9.0,6.0,1.25,11.0,6.0,1.24,12.0,6.8,1.27,10.7,6.27,1.25,1.44,2.7,2.75,1.51,2.65,1.47,3.0,True,True,13,1,2024,5
Vizela,Sp Lisbon,2,5,A,7.5,5.0,1.36,7.75,4.8,1.36,8.66,5.5,1.4,8.02,5.04,1.36,1.65,2.2,2.28,1.73,2.2,1.67,7.0,True,True,18,1,2024,3
Sp Lisbon,Casa Pia,8,0,H,1.2,7.0,12.0,1.21,6.5,12.5,1.21,7.4,16.0,1.2,6.66,13.51,1.57,2.35,2.48,1.63,2.38,1.56,8.0,True,True,29,1,2024,0
Sp Lisbon,Sp Braga,5,0,H,1.5,4.5,6.0,1.49,4.5,5.75,1.54,4.8,6.22,1.5,4.56,5.83,1.53,2.4,2.5,1.6,2.43,1.54,5.0,True,True,11,2,2024,6
Moreirense,Sp Lisbon,0,2,A,7.5,5.0,1.36,7.25,4.6,1.4,8.6,5.0,1.42,7.78,4.77,1.39,1.75,2.05,2.1,1.88,2.02,1.78,2.0,True,False,19,2,2024,0
Rio Ave,Sp Lisbon,3,3,D,8.0,5.0,1.36,8.25,5.0,1.35,9.6,5.3,1.37,8.73,5.01,1.34,1.7,2.1,2.17,1.77,2.11,1.72,6.0,False,True,25,2,2024,6
