HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,Max<2.5,Max>2.5,Avg<2.5,Avg>2.5,Dia_da_Semana,Day,Month,Day_of_week,Date
17.0,99.0,1,0,0,3.8,3.6,1.95,3.9,3.7,1.88,4.05,3.9,2.02,3.9,3.68,1.95,1.9,2.0,2.01,1.98,1.95,1.88,5,16,4,5,
6.0,99.0,2,4,0,1.83,3.6,4.33,1.83,3.6,4.2,1.92,3.8,4.65,1.87,3.64,4.34,2.1,1.8,1.89,2.11,1.8,2.04,2,20,4,2,
99.0,98.0,3,1,0,2.05,3.5,3.5,2.05,3.6,3.4,2.18,3.75,3.7,2.11,3.58,3.5,1.81,2.09,2.11,1.9,2.03,1.81,5,23,4,5,
19.0,99.0,1,2,0,4.33,3.8,1.8,4.5,3.7,1.77,4.75,4.1,1.84,4.54,3.84,1.79,1.89,2.01,2.04,1.95,1.97,1.86,6,1,5,6,
99.0,0.0,2,1,0,1.45,4.5,7.0,1.42,5.0,6.75,1.5,5.03,7.31,1.46,4.81,6.77,1.61,2.3,2.5,1.64,2.41,1.58,6,8,5,6,
18.0,99.0,3,0,0,2.05,3.75,3.5,2.05,3.5,3.4,2.2,3.79,3.62,2.12,3.6,3.42,1.8,2.0,2.13,1.87,2.05,1.78,3,12,5,3,
15.0,99.0,2,0,0,4.33,3.6,1.83,4.0,3.6,1.87,4.33,3.98,1.95,4.14,3.68,1.88,1.9,2.0,2.04,1.91,1.97,1.85,0,16,5,0,
99.0,8.0,5,1,0,1.36,4.75,9.0,1.38,5.0,7.75,1.4,5.5,9.6,1.37,5.15,8.69,1.57,2.37,2.55,1.65,2.42,1.57,6,22,5,6,
7.0,99.0,0,2,0,4.2,3.6,1.85,4.33,3.5,1.87,4.6,3.78,1.95,4.39,3.59,1.88,2.1,1.72,1.91,2.19,1.76,2.09,4,5,8,4,
99.0,11.0,4,2,0,1.53,4.33,5.75,1.52,4.4,6.0,1.6,4.65,6.42,1.55,4.37,6.04,1.66,2.2,2.3,1.76,2.21,1.69,5,13,8,5,
3.0,99.0,0,3,0,8.0,4.75,1.4,7.25,4.6,1.42,8.01,4.9,1.47,7.65,4.7,1.43,1.72,2.1,2.14,1.82,2.09,1.76,5,20,8,5,
99.0,9.0,2,1,0,1.3,5.75,9.0,1.3,5.75,9.25,1.36,6.1,10.0,1.32,5.77,9.44,1.5,2.62,2.75,1.54,2.62,1.49,5,27,8,5,
99.0,2.0,2,1,0,1.45,4.5,6.0,1.46,4.5,7.0,1.5,4.8,7.5,1.47,4.63,7.0,1.72,2.1,2.17,1.82,2.11,1.75,2,31,8,2,
