Date,Hour,Latitude,Longitude,Temperature,Precipitation,WeatherCode
21/05/2023,20,41.4425,-8.2918,20.7,0.0,3.0
27/05/2023,20,41.1579,-8.6291,17.7,0.1,51.0
13/08/2023,20,38.7223,-9.1393,20.7,0.0,0.0
19/08/2023,20,41.4425,-8.2918,22.4,0.0,3.0
27/08/2023,20,41.4425,-8.2918,20.1,0.0,3.0
02/09/2023,20,38.7223,-9.1393,19.5,0.0,3.0
17/09/2023,20,41.4425,-8.2918,16.2,1.3,61.0
23/09/2023,20,38.7223,-9.1393,20.1,0.0,0.0
01/10/2023,20,41.4425,-8.2918,24.8,0.0,0.0
08/10/2023,20,41.408,-8.5188,23.3,0.0,0.0
28/10/2023,20,41.4425,-8.2918,15.0,3.2,63.0
05/11/2023,20,41.3879,-8.3412,9.4,0.3,51.0
11/11/2023,20,41.4425,-8.2918,16.5,2.2,61.0
02/12/2023,20,37.0194,-7.9307,12.0,0.0,1.0
16/12/2023,20,41.1579,-8.6291,7.9,0.0,0.0
23/12/2023,20,41.4425,-8.2918,6.2,0.0,0.0
06/01/2024,20,41.5454,-8.4265,8.5,0.0,3.0
15/01/2024,20,41.4425,-8.2918,14.4,0.1,51.0
21/01/2024,20,41.4425,-8.2918,11.2,0.0,3.0
28/01/2024,20,41.5321,-8.618,12.4,0.0,3.0
04/02/2024,20,38.7223,-9.1393,14.1,0.0,3.0
11/02/2024,20,41.4425,-8.2918,10.2,1.0,55.0
17/02/2024,20,38.7223,-9.1393,14.9,0.0,3.0
24/02/2024,20,41.4425,-8.2918,9.7,1.1,55.0
02/03/2024,20,38.7167,-9.3977,11.4,0.0,2.0
09/03/2024,20,41.4425,-8.2918,6.7,0.8,53.0
30/03/2024,20,41.4425,-8.2918,7.2,0.6,53.0
07/04/2024,20,41.1579,-8.6291,13.3,0.0,3.0
13/04/2024,20,41.4425,-8.2918,21.7,0.0,3.0
27/04/2024,20,41.4425,-8.2918,10.1,0.0,1.0
04/05/2024,20,41.3623,-8.7367,15.2,0.1,51.0
11/05/2024,20,41.4425,-8.2918,18.0,0.0,0.0
18/05/2024,20,40.9312,-8.2437,12.4,0.2,51.0
12/08/2024,20,40.9312,-8.2437,20.2,0.0,3.0
18/08/2024,20,41.4425,-8.2918,25.0,0.0,0.0
25/08/2024,20,41.363,-8.451,23.0,0.0,0.0
01/09/2024,20,41.4425,-8.2918,20.0,0.0,0.0
15/09/2024,20,41.5454,-8.4265,21.9,0.0,0.0
21/09/2024,20,41.4425,-8.2918,16.4,0.0,1.0
28/09/2024,20,38.7223,-9.1393,17.8,0.0,0.0
06/10/2024,20,41.4425,-8.2918,17.2,0.1,51.0
27/10/2024,20,38.7223,-9.1393,15.0,0.0,0.0
03/11/2024,20,41.4425,-8.2918,15.9,0.0,1.0
10/11/2024,20,37.7394,-25.6687,20.0,0.0,1.0
02/12/2024,20,41.4425,-8.2918,11.6,0.0,3.0
07/12/2024,20,38.7223,-9.1393,12.7,0.0,3.0
16/12/2024,20,41.3623,-8.7367,11.1,0.0,3.0
23/12/2024,20,41.4425,-8.2918,8.1,0.0,0.0
29/12/2024,20,37.0194,-7.9307,12.5,0.0,0.0
18/01/2025,20,41.4425,-8.2918,7.9,0.0,0.0
26/01/2025,20,38.7167,-9.3977,16.3,0.6,53.0
01/02/2025,20,41.4425,-8.2918,11.4,0.0,3.0
08/02/2025,20,41.408,-8.5188,10.7,0.0,3.0
16/02/2025,20,41.4425,-8.2918,9.4,0.0,2.0
24/02/2025,20,41.1579,-8.6291,13.9,1.3,61.0
01/03/2025,20,41.4425,-8.2918,11.2,0.0,0.0
09/03/2025,20,41.1579,-8.6291,9.7,0.0,3.0
16/03/2025,20,41.4425,-8.2918,9.4,0.0,3.0
30/03/2025,20,41.3879,-8.3412,16.9,0.0,0.0
05/04/2025,20,41.4425,-8.2918,12.3,0.0,2.0
11/04/2025,20,41.5321,-8.618,15.3,0.4,51.0
19/04/2025,20,41.4425,-8.2918,9.8,4.0,63.0
27/04/2025,20,41.4425,-8.2918,19.2,0.0,1.0
03/05/2025,20,32.6707,-16.9241,14.6,1.7,61.0
11/05/2025,20,41.4425,-8.2918,13.0,0.0,3.0
13/08/2022,20,40.3515,18.174,24.1,0.0,1.0
20/08/2022,20,41.9028,12.4964,26.2,0.0,0.0
28/08/2022,20,40.3515,18.174,23.9,0.0,0.0
31/08/2022,20,40.8518,14.2681,25.9,0.0,3.0
05/09/2022,20,45.0703,7.6869,22.2,0.0,1.0
11/09/2022,20,40.3515,18.174,22.9,0.0,0.0
16/09/2022,20,41.9028,12.4964,23.7,0.0,1.0
02/10/2022,20,40.3515,18.174,18.9,0.0,0.0
09/10/2022,20,41.9028,12.4964,19.9,0.0,3.0
17/10/2022,20,40.3515,18.174,17.4,0.0,0.0
23/10/2022,20,44.4949,11.3426,19.7,0.0,2.0
29/10/2022,20,40.3515,18.174,17.4,0.0,0.0
04/11/2022,20,46.0604,13.2346,12.4,0.0,3.0
09/11/2022,20,40.3515,18.174,11.9,0.0,0.0
12/11/2022,20,41.9028,12.4964,11.9,0.0,0.0
04/01/2023,20,40.3515,18.174,12.0,0.0,2.0
08/01/2023,20,41.9028,12.4964,11.7,0.0,3.0
14/01/2023,20,40.3515,18.174,9.3,0.0,0.0
21/01/2023,20,45.4384,10.9916,2.3,0.0,3.0
27/01/2023,20,40.3515,18.174,7.2,0.0,3.0
04/02/2023,20,41.9028,12.4964,8.9,0.0,0.0
11/02/2023,20,40.3515,18.174,7.7,0.0,1.0
19/02/2023,20,45.695,9.6773,7.4,0.0,2.0
25/02/2023,20,40.3515,18.174,14.4,0.0,3.0
05/03/2023,20,45.4642,9.19,8.4,0.0,0.0
12/03/2023,20,40.3515,18.174,11.3,0.0,0.0
19/03/2023,20,43.7696,11.2558,12.6,1.1,55.0
03/04/2023,20,43.7179,10.9478,10.0,0.0,0.0
07/04/2023,20,40.3515,18.174,8.1,0.0,0.0
16/04/2023,20,40.3515,18.174,11.6,0.1,51.0
23/04/2023,20,45.4642,9.19,16.1,0.0,3.0
28/04/2023,20,40.3515,18.174,14.4,0.0,3.0
03/05/2023,20,45.0703,7.6869,17.2,0.0,0.0
07/05/2023,20,40.3515,18.174,16.9,0.0,2.0
12/05/2023,20,41.9028,12.4964,15.8,0.0,0.0
21/05/2023,20,40.3515,18.174,16.4,0.0,2.0
28/05/2023,20,45.5827,9.2747,21.1,0.0,3.0
04/06/2023,20,40.3515,18.174,21.6,0.0,2.0
20/08/2023,20,40.3515,18.174,27.0,0.0,0.0
27/08/2023,20,43.7696,11.2558,28.7,0.0,3.0
03/09/2023,20,40.3515,18.174,24.0,0.0,3.0
17/09/2023,20,45.5827,9.2747,21.2,0.0,1.0
22/09/2023,20,40.3515,18.174,25.6,0.0,0.0
26/09/2023,20,45.0703,7.6869,21.0,0.0,0.0
30/09/2023,20,40.3515,18.174,20.9,0.0,0.0
06/10/2023,20,40.3515,18.174,20.6,0.0,0.0
23/10/2023,20,46.0604,13.2346,16.2,0.0,3.0
28/10/2023,20,40.3515,18.174,18.2,0.0,0.0
05/11/2023,20,41.9028,12.4964,15.9,0.0,0.0
11/11/2023,20,40.3515,18.174,14.9,0.0,0.0
27/11/2023,20,45.4384,10.9916,4.5,0.0,3.0
03/12/2023,20,40.3515,18.174,11.4,0.0,1.0
11/12/2023,20,43.7179,10.9478,11.5,0.0,3.0
16/12/2023,20,40.3515,18.174,10.4,0.0,3.0
23/12/2023,20,45.4642,9.19,9.6,0.0,2.0
30/12/2023,20,45.695,9.6773,5.9,0.0,2.0
06/01/2024,20,40.3515,18.174,12.4,0.3,51.0
14/01/2024,20,41.9028,12.4964,9.7,0.1,51.0
21/01/2024,20,40.3515,18.174,8.7,0.0,0.0
28/01/2024,20,44.4056,8.9463,11.0,0.0,0.0
02/02/2024,20,40.3515,18.174,9.6,0.0,0.0
11/02/2024,20,44.4949,11.3426,9.3,0.0,2.0
16/02/2024,20,45.0703,7.6869,7.0,0.0,3.0
25/02/2024,20,40.3515,18.174,13.5,0.0,3.0
03/03/2024,20,41.9028,12.4964,13.3,0.9,53.0
10/03/2024,20,40.3515,18.174,14.0,0.0,3.0
16/03/2024,20,41.9028,12.4964,13.0,0.0,0.0
01/04/2024,20,40.3515,18.174,16.9,0.0,3.0
06/04/2024,20,45.4642,9.19,16.7,0.0,0.0
13/04/2024,20,40.3515,18.174,17.2,0.0,0.0
21/04/2024,20,41.9028,12.4964,12.8,0.0,0.0
27/04/2024,20,40.3515,18.174,13.9,0.0,0.0
