Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,BWH,BWD,BWA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,Max<2.5,Max>2.5,Avg<2.5,Avg>2.5,WeekDay,Season
29/04/2023,Torino,Atalanta,1,2,A,2.88,3.3,2.45,2.9,3.3,2.45,3.03,3.4,2.55,2.95,3.3,2.48,2.0,1.8,1.82,2.14,1.77,2.07,5,2022/2023
03/05/2023,Sampdoria,Torino,0,2,A,4.2,3.4,1.91,4.1,3.4,1.93,4.75,3.55,1.98,4.38,3.43,1.91,2.2,1.67,1.71,2.32,1.66,2.24,2,2022/2023
07/05/2023,Torino,Monza,1,1,D,2.0,3.3,4.0,1.98,3.4,3.8,2.05,3.41,4.4,1.99,3.33,4.11,2.3,1.62,1.65,2.45,1.6,2.34,6,2022/2023
14/05/2023,Verona,Torino,0,1,A,2.4,3.1,3.2,2.35,3.0,3.25,2.45,3.17,3.4,2.39,3.08,3.3,2.63,1.5,1.56,2.63,1.52,2.54,6,2022/2023
21/05/2023,Torino,Fiorentina,1,1,D,1.95,3.4,4.2,2.0,3.3,3.9,2.05,3.56,4.2,2.01,3.4,3.98,2.2,1.67,1.74,2.27,1.69,2.2,6,2022/2023
27/05/2023,Spezia,Torino,0,4,A,2.38,3.25,3.1,2.37,3.25,3.0,2.48,3.38,3.25,2.4,3.24,3.11,2.2,1.67,1.73,2.32,1.67,2.23,5,2022/2023
03/06/2023,Torino,Inter,0,1,A,2.3,3.5,3.0,2.3,3.3,3.0,2.43,3.58,3.15,2.36,3.38,3.06,2.05,1.88,1.93,2.05,1.86,1.97,5,2022/2023
21/08/2023,Torino,Cagliari,0,0,D,1.67,3.75,5.25,1.68,3.7,5.25,1.74,4.0,5.8,1.68,3.73,5.47,2.1,1.73,1.77,2.23,1.7,2.16,0,2023/2024
26/08/2023,Milan,Torino,4,1,H,1.65,3.8,5.0,,,,1.74,4.0,6.0,1.66,3.8,5.63,2.2,1.67,1.78,2.3,1.7,2.19,5,2023/2024
03/09/2023,Torino,Genoa,1,0,H,2.0,3.3,4.0,2.05,3.2,3.9,2.1,3.47,4.1,2.05,3.26,3.96,2.38,1.57,1.65,2.48,1.59,2.39,6,2023/2024
18/09/2023,Salernitana,Torino,0,3,A,3.6,3.25,2.2,3.4,3.25,2.2,3.77,3.44,2.29,3.51,3.23,2.21,2.2,1.67,1.73,2.38,1.66,2.24,0,2023/2024
24/09/2023,Torino,Roma,1,1,D,3.1,2.9,2.6,3.0,3.0,2.5,3.22,3.23,2.62,3.07,3.05,2.55,2.63,1.5,1.56,2.77,1.51,2.62,6,2023/2024
27/09/2023,Lazio,Torino,2,0,H,2.15,3.25,3.5,2.1,3.3,3.6,2.22,3.5,3.75,2.15,3.32,3.61,2.2,1.67,1.75,2.31,1.69,2.21,2,2023/2024
02/10/2023,Torino,Verona,0,0,D,1.85,3.5,4.33,1.93,3.3,4.2,1.99,3.58,4.9,1.89,3.4,4.47,2.3,1.6,1.66,2.46,1.61,2.33,0,2023/2024
07/10/2023,Juventus,Torino,2,0,H,1.91,3.3,4.33,1.93,3.2,4.33,1.98,3.6,4.75,1.93,3.35,4.46,2.35,1.57,1.68,2.43,1.6,2.36,5,2023/2024
21/10/2023,Torino,Inter,0,3,A,5.5,3.6,1.7,4.75,3.6,1.75,5.5,3.83,1.79,5.11,3.7,1.74,2.06,1.84,1.87,2.1,1.82,2.02,5,2023/2024
28/10/2023,Lecce,Torino,0,1,A,2.75,3.0,2.8,2.65,3.0,2.8,2.85,3.12,2.94,2.77,3.02,2.85,2.5,1.5,1.57,2.66,1.53,2.54,5,2023/2024
06/11/2023,Torino,Sassuolo,2,1,H,2.15,3.4,3.4,2.05,3.5,3.5,2.21,3.6,3.6,2.15,3.44,3.45,2.0,1.9,1.91,2.0,1.87,1.94,0,2023/2024
11/11/2023,Monza,Torino,1,1,D,2.5,3.1,3.0,2.45,3.1,3.0,2.55,3.28,3.2,2.48,3.16,3.07,2.25,1.62,1.68,2.36,1.64,2.28,5,2023/2024
27/11/2023,Bologna,Torino,2,0,H,2.3,3.25,3.2,2.25,3.2,3.3,2.42,3.33,3.45,2.34,3.18,3.31,2.3,1.6,1.64,2.48,1.59,2.38,0,2023/2024
04/12/2023,Torino,Atalanta,3,0,H,2.9,3.2,2.45,2.95,3.2,2.45,3.2,3.39,2.53,3.03,3.2,2.49,2.2,1.65,1.72,2.35,1.67,2.24,0,2023/2024
10/12/2023,Frosinone,Torino,0,0,D,3.4,3.2,2.25,3.2,3.25,2.25,3.55,3.48,2.31,3.37,3.28,2.24,2.15,1.67,1.78,2.21,1.73,2.14,6,2023/2024
16/12/2023,Torino,Empoli,1,0,H,1.6,3.8,6.0,1.6,3.9,5.75,1.66,4.11,6.5,1.61,3.94,5.97,2.05,1.85,1.9,2.05,1.84,1.98,5,2023/2024
23/12/2023,Torino,Udinese,1,1,D,1.75,3.5,5.0,1.8,3.4,4.75,1.85,3.64,5.5,1.78,3.52,5.01,2.25,1.62,1.71,2.33,1.65,2.24,5,2023/2024
29/12/2023,Fiorentina,Torino,1,0,H,2.1,3.2,3.6,2.2,3.1,3.6,2.25,3.39,3.8,2.19,3.2,3.65,2.35,1.57,1.65,2.49,1.59,2.37,4,2023/2024
07/01/2024,Torino,Napoli,3,0,H,2.9,3.2,2.5,2.9,3.2,2.45,3.05,3.41,2.62,2.96,3.23,2.51,2.2,1.65,1.75,2.29,1.69,2.19,6,2023/2024
